,name,best_loss_test,best_acc_test,best_loss_val,best_acc_val,best_acc_epochs,best_loss_epochs
0,race.ethnicity,0.2132451322386034,0.5468374699759808,0.19008576001426142,0.5916733386709367,0,0
1,income_group,0.25159443961419137,0.3026421136909528,0.24500818916852232,0.3466773418734988,1,0
2,female,0.09714502559078513,0.5508406725380304,0.10138982768245847,0.5300240192153723,2,0
3,married,0.12363901130670162,0.710968775020016,0.12267101278679193,0.7101681345076061,0,0
4,high.educ_group,0.05174219942360138,0.8726981585268214,0.048254967499390136,0.8831064851881505,1,0
5,BMI_norm,0.220945310936249,3.8845732836269016,0.21565379745202412,3.7915422181495195,0,2
6,age_norm,0.9492518819743294,53.09866017814252,1.0246144180969776,57.31427016613291,0,2
7,vol_norm,1.1560969478707965,1.1600301725755604,1.1646182180119096,1.1685809585168134,0,2
8,weight_norm,0.1535701217223779,83.5281224979984,0.18856917809638335,102.56438275620496,0,2
9,height_norm,0.6378661522968375,6.340306229358487,0.6258304495158626,6.2206730227932345,0,2
10,nihtbx_fluidcomp_uncorrected_norm,0.9985255782751201,0.748956098472528,0.9899267069905925,0.7425062608680695,0,2
11,nihtbx_cryst_uncorrected_norm,1.186897467192504,0.7305338411354083,1.1870356636871997,0.7306193587682646,0,2
12,nihtbx_pattern_uncorrected_norm,1.0073890166820956,0.9066090763235588,1.0105053769578163,0.9094135660090572,0,0
13,nihtbx_picture_uncorrected_norm,0.9338678950973278,0.8567107592323859,0.9732862461844476,0.8928725011259008,0,2
14,nihtbx_list_uncorrected_norm,1.1447246664519115,0.9064409730909728,1.0674841631117393,0.8452789575410328,0,2
15,nihtbx_flanker_uncorrected_norm,1.099572235913731,0.9047449873961669,1.0622628962545035,0.8740462096239492,0,0
16,nihtbx_picvocab_uncorrected_norm,1.6663872113315652,1.0767682505379303,1.61072256242494,1.0407998273618895,0,2
17,nihtbx_cardsort_uncorrected_norm,1.2296827696532227,1.0569450677729684,1.2745441470363792,1.095505212763961,0,2
18,nihtbx_totalcomp_uncorrected_norm,1.01808116415007,0.6300371351768915,1.0134362372710668,0.6271624232980134,0,2
19,nihtbx_reading_uncorrected_norm,0.9607829818542334,0.7060916799846126,0.9937121572257807,0.7302916551991593,0,0
